movies & series
Ver Dulce venganza online
2010
108 MIN
"Este remake del clásico de 1978 del mismo nombre, cuenta la historia de una mujer que es brutalmente violada y asaltada por cuatro hombres, sobrevive, y toma la ley en sus propias manos buscando venganza contra sus atacantes."
Ver La maldición de Blackwood online
2018
96 MIN
"Cinco adolescentes emocionalmente frágiles son enviadas a Blackwood, una misteriosa escuela para niñas superdotadas y perturbadas."
Ver John Wick 2: Un nuevo día para matar online
2017
122 MIN
"En esta secuela del éxito de 2014, el legendario asesino John Wick (Keanu Reeves) se ve obligado a salir del retiro por un ex-asociado que planea obtener el control de un misterioso grupo internacional de asesinos. Obligado a ayudarlo por un juramento de sangre, John emprende un viaje a Roma lleno de adrenalina estremecedora"
Ver La reina online
2006
103 MIN
Hellen Mirren ganó el Oscar a Mejor Actriz en 2006 por su brillante retrato de la Reina Isabel cuando lidiaba con la trágica muerte de la Princesa Diana.
Ver Crepúsculo la saga: Luna Nueva online
2009
130 MIN
"A Bella se le parte el corazón cuando la familia Cullen decide mudarse para poner fin a su relación con el vampiro Edward. Ella busca consuelo en su amigo Jacob, y comienza a preguntarse si podrían ser algo más."
Ver Apariciones online
2005
90 MIN
"Extraños y aterradores sucesos rodean a una familia (Donald Sutherland, Sissy Spacek, Rachel Hurd-Wood) en el estado de Tennessee de 1817 luego de que un ciudadano maldijera al padre. Possession knows no bounds. Basada en el libro de Brent Monahan."
Ver Dónde Está El Dinero online
2017
85 MIN
"Un joven de agudo intelecto, proveniente de las calles de South Central, debe ser reclutado en una fraternidad elitista en USC para recuperar dinero robado."
Ver El lado oscuro del deseo online
2015
99 MIN
"Evan es un hombre casado cuya mujer e hijos están de viaje. Una noche lluviosa acoge a dos chicas que, aunque al principio se muestre reacio, lo seducen. Lo que todavía no sabe son los horribles planes que ellas tienen para él."
Ver Llámame Por Tu Nombre online
2017
131 MIN
"A mediados del esplendoroso verano de 1980 en Italia, Elio y Oliver descubren el maravilloso despertar del deseo que cambiara sus vidas por siempre."
Ver Campamento del terror online
2015
84 MIN
"Cuatro jóvenes estadounidenses se apuntan como monitores en un campamento de verano en Europa. Al llegar, una extraña infección, que causa furia extrema, sumerge al grupo en una espiral de terror y locura"
Ver Dulce venganza 2 online
2013
106 MIN
"Del director de la aclamada remake del 2010, este nuevo episodio impactante muestra a una modelo brutalizada que sobrevive para buscar su venganza. Protagonizada por Jemma Dallender y Joe Absolom."
Ver Spider-Man: De regreso a casa online
2017
133 MIN
Un joven Peter Parker/Hombre Araña comienza a navegar la nueva identidad encontrada como el superhéroe lanzador de la web.
Ver Si no despierto online
2017
98 MIN
"Samantha Kingston (Zoey Deutch), una preparatoriana a punto de graduarse, que lo tiene todo. El 12 de Febrero es sólo otro venturoso día en la vida de Sam hasta que se ve atascada reviviéndolo inexplicablemente durante una semana."
Ver Blade Runner 2049 online
2017
163 MIN
"Treinta años después de lo ocurrido en la primera película, un nuevo Blade Runner, el oficial de la Policía de Los Ángeles K, desentierra un viejo secreto que puede provocar el caos en lo que queda de sociedad. El descubrimiento de K le sitúa en la misión de encontrar a Rick Deckard, un antiguo policía que ha estado"
"Ver Crepúsculo, la saga: Eclipse online"
2010
123 MIN
"Mientras una serie de misteriosos asesinatos se apodera de Seattle, Bella, cuya graduación de secundaria se acerca rápidamente, se ve obligada a elegir entre su amor por el vampiro Edward y su amistad con el hombre lobo Jacob."
Ver Después Del Sexo online
2007
77 MIN
"¿De qué hablamos cuando el sexo termina? Conoce a ocho parejas -heterosexuales y gays, vírgenes y extraños, amantes, mentirosos, engañadores y swingers."
Ver El contratista online
2013
88 MIN
"Elizabeth Chase es una esposa comprensiva y una madre amorosa. Su trabajo en uno de los principales hospitales infantiles de Los Ángeles la tiene bastante ocupada estos días. Además, la crianza de su hija McKenzie, consume todo su tiempo."
Ver Jumanji: En la selva online
2017
119 MIN
"Cuatro adolescentes en detención descubren una vieja consola de videojuegos con un juego del que nunca han escuchado. Cuando deciden jugar, son inmediatamente succionador hacia la jungla de Jumanji, convertidos en sus avatares."
Ver La maldición de la casa Winchester online
2018
99 MIN
"El bebé y el marido (William Wirt Winchester) de Sarah Winchester, heredera de la compañía de rifles Winchester, mueren repentinamente. Debido a ello, cree estar maldita por toda la muerte causada por los rifles, por lo que acude a una médium, quien le aconseja construirse una casa en San José, California, la cual nunca debe"
"Ver Posdata, te amo online"
2007
125 MIN
Una viuda (Hilary Swank) apenada encuentra una serie de mensajes que le dejó su marido fallecido para ayudarle a disminuir su dolor y alentarla a iniciar una nueva vida por sí misma.
Ver 2012 online
2009
157 MIN
"El mundo se enfrenta a una catástrofe de proporciones apocalípticas, las ciudades quedan destruidas y los continentes se desmoronan. En el año 2012 llega el fin del mundo y la heroica lucha de los supervivientes."
Ver Abre los ojos online
1997
119 MIN
Un hombre desfigurado se encuentra entre un sueño y la realidad cuando recuerda los eventos de su accidente.
"Ver ¡Bu! 2 Una noche de brujas de Madea, de Tyler Perry online"
2017
100 MIN
"Cuando la hija de Brian, (Tyler Perry) se escapa a una fiesta, en un campamento embrujado, Madea, Bam Hattie y Joe comienzan toda una travesía llena de miedo y diversión para traerla de regreso a casa, haciendo reír y asustando a todos los monstruos, duendes y fanáticos de la fiesta que se interponen en su camino."
Ver Crepúsculo online
2008
121 MIN
"Una adolescente con problemas se muda con su padre a un pequeño pueblo aislado. Ella se enamora de un misterioso solitario con un secreto impactante, ¿podría tener algo que ver con los asesinatos locales que han comenzado a tener lugar?"
Ver Crímenes ocultos online
2015
137 MIN
Un agente soviético caído en desgracia descubre una conexión entre una serie de asesinatos infantiles y el líder de un partido. Those who seek the truth will be silenced. Basada en una novela de Tom Rob Smith.
Ver Día del atentado online
2016
133 MIN
La historia del bombardeo de la maratón de Boston del 2013 y la búsqueda de personas en la ciudad para encontrar a los terroristas responsables.
Ver El grito 3 online
2009
90 MIN
Un doctor (Shawnee Smith) necesita la ayuda de una misteriosa mujer japonesa para combatir a dos fantasmas vengativos.
Ver El Justiciero online
2014
131 MIN
Un ex-comando sale del retiro y pone sus habilidades especiales a trabajar para rescatar a una chica que está bajo el control de unos criminales rusos. What do you see when you look at me? Basada en la serie de televisión.
Ver Enemigo invisible online
2016
102 MIN
"La coronel Katherine Powell dirige una misión secreta de drones para capturar a un grupo de terroristas que vive en una casa de seguridad en Narobi, Kenia. La situación escala de nivel cuando el piloto del drone se dirige a atacar se percata que una niña de 9 años entra en la zona de muerte. Powell contacta a sus superiores"
Ver Escondida online
2011
88 MIN
Una detective de Boston investiga los cuerpos momificados de seis mujeres.
Ver Grey Lady online
2017
109 MIN
"Después de que su compañera policía y amante, fuera asesinada en Boston, el detective de homicidios James Doyle (Eric Dane) sigue una pista puesta en las últimas palabras de ella hasta la remota isla de Nantucket para buscar a su asesino en la solitaria temporada baja."
Ver Halloween 4: el regreso de Michael Myers online
1988
88 MIN
"Hace diez años, cambió la manera de vivir el día de brujas. Esta noche...¡él está de vuelta!"
Ver Horizonte profundo online
2016
107 MIN
"Horizonte profundo es una historia llena de heroísmo y acción, basada en los hechos reales que sucedieron en la plataforma de Deepwater Horizon en el Golfo de México en 2010. La historia narra la valentía de los trabajadores de la plataforma y los momentos de coraje. En esta batalla de supervivencia durante lo que se"
Ver La última puerta online
1999
133 MIN
Johnny Depp es contratado por un fiel satánico que se hace pasar por un erudito de la demonología para localizar dos escasos volúmenes de una invocación satánica.
Ver Lo imposible online
2012
113 MIN
"Esta película aclamada por la por Naomi Watts y Ewan McGregor está basada en la verdadera historia de una familia atrapada en una de las peores catástrofes naturales de nuestro tiempo, el tsunami del 2004, que devastó el sudeste asiático."
Ver Lo que pasó recién online
2008
103 MIN
Un desesperado productor de películas intenta revivir su carrera moribunda y mantener su dignidad mientras lucha por lograr realizar su película durante un lapso de dos semanas.
Ver Los juegos del hambre: En llamas online
2013
146 MIN
"Katniss Everdeen ha regresado a casa a salvo después de ganar los 74º juegos anuales del Hambre. Siente que una rebelión se avecina, pero el Capitolio todavía está en control, ya que los Próximos juegos del Hambre están listos."
Ver Make your move online
2014
109 MIN
"Make your move trata de una joven bailarina coreana, Aya (BoA), que vive en Nueva York y dirige su grupo de baile femenino Cobu. Aya se enamora de Donny (Derek Hough), un valiente y atrevido bailarín que se muda de Nueva Orleans a Nueva York para ayudar a su hermanastro, Nick (Wesley Jonathan), a dirigir uno de los clubes de"
Ver Más fuerte que el destino online
2017
118 MIN
"Más Fuerte que el Destino está inspirada en la historia de Jeff Bauman, un hombre ordinario quien capturó los corazones del mundo, para convertirse en un símbolo de esperanza, después de la infame explosión de bomba del Maratón de Boston del 2013."
Ver Oscura seducción online
2011
89 MIN
"Una cirujana plástica exitosa se embarca en una aventura apasionada con un enfermero, solo para descubrir el lado oscuro de su personalidad que alcanza niveles aterradores cuando ella se ve obligada a terminar su relación."
Ver Pasión inocente online
2014
97 MIN
"Megan, una esposa y madre, decide que la familia debe acoger a la estudiante de intercambio, Sophie."
Ver Plan de escape online
2013
115 MIN
"Ray Breslin, una de las principales autoridades del mundo en materia de seguridad estructural, acepta asumir un trabajo poco ortodoxo: salir de una instalación ultra secreta y de alta tecnología llamada la Tumba. Cuando acepta, se inserta en la prisión más secreta y segura del mundo, y necesitará la ayuda de un compañero"
Ver Rescate del metro 1 2 3 online
2009
105 MIN
Walter Garber es un trabajador del metro de Nueva York cuyo día ordinario es empujado hacia el caos por un crimen audaz: El sabotaje de un tren del metro.
Ver Retornados online
2014
98 MIN
"Un virus zombi ha infectado a la humanidad, pero se puede curar con inyecciones diarias. Así que el caos surge cuando se sabe que quedan pocos suministros de inyecciones."
Ver Al borde del abismo online
2012
102 MIN
"Un ex policía, recientemente liberado de prisión, está parado en la cornisa de un edificio, amenazando con saltar. Mientras tanto, un enorme robo de joyas se está llevando a cabo cerca ¿hay más en la historia de lo que se ve a simple vista?"
Ver ¡Competencia en la cocina! online
2017
98 MIN
Una madre soltera que sueña con una vida mejor y ama cocinar encuentra el camino al éxito cuando su hijo la insribe en una competencia de gastronomía.
Ver Crank: muerte anunciada online
2006
87 MIN
"Hoy es el último día de la vida del asesino a sueldo Chev Chelios. Le suministraron un veneno que lo matará si permite que su corazón se estabilice a un ritmo normal. Para mantenerse con vida y vengarse, Chev debe mantener su adrenalina elevada de cualquier manera posible."
Ver Crepúsculo La Saga: Amanecer - Parte 1 online
2011
117 MIN
